GeoId|Geography|LEAID|Year|Iteration|CDP02.11_92est|CDP02.11_92moe|CDP02.11_93est|CDP02.11_93moe|CDP02.11_93pct|CDP02.11_93pctmoe|CDP02.11_94est|CDP02.11_94moe|CDP02.11_94pct|CDP02.11_94pctmoe
97000US4500720|Aiken County School District|4500720|2014-2018|102|18085|642|17150|706|94.8|1.6|14715|647|81.4|2.4
95000US1703210|Akin Community Consolidated School District 91|1703210|2014-2018|102|55|18|50|16|90.9|9.0|45|15|81.8|16.5
97000US1903220|Akron-Westfield Community School District|1903220|2014-2018|102|365|77|350|74|95.9|5.3|330|72|90.4|7.0
97000US0100190|Alabaster City School District|0100190|2014-2018|102|3790|306|3775|302|99.6|0.4|3590|305|94.7|2.5
97000US1200030|Alachua County School District|1200030|2014-2018|102|19350|827|18355|821|94.9|1.2|17340|791|89.6|1.7
97000US3700030|Alamance-Burlington Schools|3700030|2014-2018|102|18360|582|17915|585|97.6|0.9|15570|603|84.8|2.1
95000US4700030|Alamo City School District|4700030|2014-2018|102|275|83|265|82|96.4|5.3|245|78|89.1|8.6
97000US4807590|Alamo Heights Independent School District|4807590|2014-2018|102|3155|283|3105|286|98.4|1.7|3080|288|97.6|1.9
97000US3500030|Alamogordo Public Schools|3500030|2014-2018|102|4050|414|3870|411|95.6|2.8|3445|375|85.1|4.9
97000US0200050|Alaska Gateway School District|0200050|2014-2018|102|235|49|205|48|87.2|5.9|170|47|72.3|10.7
97000US4807650|Alba-Golden Independent School District|4807650|2014-2018|102|700|166|700|166|100.0|5.6|625|159|89.3|9.8
97000US5600730|Albany County School District 1|5600730|2014-2018|102|2460|240|2415|236|98.2|1.6|2315|230|94.1|3.1
97000US4807680|Albany Independent School District|4807680|2014-2018|102|270|68|255|69|94.4|8.0|255|69|94.4|8.0
97000US5500120|Albany School District|5500120|2014-2018|102|350|54|345|55|98.6|5.1|335|56|95.7|6.0
97000US5100090|Albemarle County Public Schools|5100090|2014-2018|102|9920|433|9740|424|98.2|0.9|9045|451|91.2|2.2
95000US1703270|Albers School District 63|1703270|2014-2018|102|180|59|140|43|77.8|24.0|130|42|72.2|23.5
97000US1900031|Albert City-Truesdale Community School District|1900031|2014-2018|102|150|35|150|35|100.0|12.5|140|36|93.3|7.9
97000US0100005|Albertville City School District|0100005|2014-2018|102|2605|240|2285|237|87.7|5.4|2045|268|78.5|7.3
97000US1903270|Albia Community School District|1903270|2014-2018|102|745|118|745|117|100.0|2.6|665|111|89.3|6.4
97000US3500060|Albuquerque Public Schools|3500060|2014-2018|102|69265|1168|65835|1209|95.0|0.6|58955|1080|85.1|1.0
97000US1903300|Alburnett Community School District|1903300|2014-2018|102|305|71|305|71|100.0|6.3|295|69|96.7|4.8
97000US4600028|Alcester-Hudson School District 61-1|4600028|2014-2018|102|195|58|190|57|97.4|4.1|175|54|89.7|10.7
97000US4700060|Alcoa City School District|4700060|2014-2018|102|1130|148|1125|148|99.6|1.3|1005|146|88.9|5.4
97000US2800390|Alcorn School District|2800390|2014-2018|102|2750|215|2675|212|97.3|1.7|2215|215|80.5|5.6
97000US1900032|Alden Community School District|1900032|2014-2018|102|165|40|165|40|100.0|11.4|155|39|93.9|5.6
97000US2703030|Alden-Conger Public School District|2703030|2014-2018|102|120|30|120|30|100.0|13.5|105|25|87.5|12.9
97000US1703300|Alden-Hebron School District 19|1703300|2014-2018|102|310|76|300|72|96.8|6.2|265|68|85.5|11.3
97000US4807710|Aldine Independent School District|4807710|2014-2018|102|39725|1053|33420|1019|84.1|1.3|28835|986|72.6|1.7
97000US4807780|Aledo Independent School District|4807780|2014-2018|102|3920|340|3920|340|100.0|1.0|3870|338|98.7|1.3
97000US0200007|Aleutians East Borough School District|0200007|2014-2018|102|280|50|270|48|96.4|2.5|225|44|80.4|5.2
97000US0100030|Alexander City City School District|0100030|2014-2018|102|1855|279|1740|294|93.8|5.2|1560|268|84.1|7.5
97000US3700090|Alexander County Schools|3700090|2014-2018|102|3670|366|3460|363|94.3|4.1|3070|319|83.7|5.5
97000US5100120|Alexandria City Public Schools|5100120|2014-2018|102|12445|585|12070|610|97.0|1.2|11405|605|91.6|1.8
97000US1800120|Alexandria Community School Corporation|1800120|2014-2018|102|955|118|930|123|97.4|3.4|820|131|85.9|9.2
97000US2703060|Alexandria Public School District|2703060|2014-2018|102|3095|231|3065|230|99.0|0.6|2920|252|94.3|2.8
95000US3400690|Alexandria Township School District|3400690|2014-2018|102|400|71|400|71|100.0|7.8|400|71|100.0|7.8
97000US5500150|Algoma School District|5500150|2014-2018|102|505|58|505|58|100.0|3.4|480|56|95.0|2.9
97000US1903360|Algona Community School District|1903360|2014-2018|102|1005|104|975|103|97.0|2.9|865|101|86.1|6.1
95000US0400600|Alhambra Elementary District|0400600|2014-2018|102|9110|540|7930|529|87.0|2.7|6210|515|68.2|3.5
97000US0600153|Alhambra Unified School District|0600153|2014-2018|102|9490|438|9170|420|96.6|1.5|8560|428|90.2|2.3
97000US4807800|Alice Independent School District|4807800|2014-2018|102|3010|364|2240|327|74.4|7.4|2025|308|67.3|8.3
97000US4807830|Alief Independent School District|4807830|2014-2018|102|33285|1271|30905|1287|92.8|1.3|27590|1274|82.9|1.8
97000US1903390|Allamakee Community School District|1903390|2014-2018|102|740|119|705|123|95.3|2.5|685|124|92.6|3.4
97000US3400720|Allamuchy Township School District|3400720|2014-2018|102|330|64|330|64|100.0|9.4|330|64|100.0|9.4
97000US2400030|Allegany County Public Schools|2400030|2014-2018|102|6210|311|5955|327|95.9|1.9|5545|311|89.3|2.4
97000US3600015|Allegany-Limestone Central School District|3600015|2014-2018|102|705|93|690|95|97.9|2.0|660|91|93.6|3.2
97000US5100152|Alleghany County Public Schools|5100152|2014-2018|102|1530|153|1460|154|95.4|3.9|1285|146|84.0|5.5
97000US3700120|Alleghany County Schools|3700120|2014-2018|102|1080|185|1015|177|94.0|4.2|890|160|82.4|7.1
97000US2100070|Allen County School District|2100070|2014-2018|102|2335|225|2195|214|94.0|3.1|1880|253|80.5|7.6
97000US4807890|Allen Independent School District|4807890|2014-2018|102|15505|668|15390|671|99.3|0.7|14795|667|95.4|1.5
97000US2200060|Allen Parish School District|2200060|2014-2018|102|2520|277|2325|254|92.3|3.6|2085|242|82.7|4.9
95000US1703420|Allen Township Community Consolidated School District 65|1703420|2014-2018|102|75|31|75|31|100.0|29.8|75|31|100.0|29.8
95000US3400750|Allendale Borough School District|3400750|2014-2018|102|730|95|730|95|100.0|4.4|730|95|100.0|4.4
97000US1703450|Allendale Community Consolidated School District 17|1703450|2014-2018|102|185|44|185|44|100.0|13.8|180|42|97.3|6.9
97000US4500750|Allendale County School District|4500750|2014-2018|102|810|173|780|170|96.3|5.2|560|145|69.1|13.6
97000US3400810|Alloway Township School District|3400810|2014-2018|102|360|62|360|62|100.0|8.6|345|62|95.8|5.8
97000US5500210|Alma Center School District|5500210|2014-2018|102|355|51|345|50|97.2|3.7|330|48|93.0|3.5
97000US3100080|Alma Public Schools|3100080|2014-2018|102|125|28|125|28|100.0|14.7|115|27|92.0|8.0
97000US5500180|Alma School District|5500180|2014-2018|102|135|35|135|35|100.0|12.1|130|34|96.3|4.9
97000US5500240|Almond-Bancroft School District|5500240|2014-2018|102|310|43|310|43|100.0|5.5|275|44|88.7|5.5
97000US3400840|Alpha Borough School District|3400840|2014-2018|102|195|42|195|42|100.0|15.3|195|42|100.0|15.3
97000US3400870|Alpine Borough School District|3400870|2014-2018|102|130|44|125|44|96.2|9.0|125|44|96.2|9.0
97000US4807950|Alpine Independent School District|4807950|2014-2018|102|865|192|850|190|98.3|2.3|705|175|81.5|8.9
97000US4900030|Alpine School District|4900030|2014-2018|102|38960|678|38805|672|99.6|0.2|37050|651|95.1|0.7
95000US1703480|Alsip-Hazelgreen-Oaklawn School District 126|1703480|2014-2018|102|1210|158|1170|153|96.7|4.4|1000|155|82.6|8.3
97000US1903480|Alta Community School District|1903480|2014-2018|102|355|64|350|64|98.6|2.1|345|64|97.2|3.6
97000US1703510|Altamont Community Unit School District 10|1703510|2014-2018|102|505|77|485|84|96.0|4.1|455|88|90.1|7.1
95000US2903040|Altenburg 48 School District|2903040|2014-2018|102|110|39|110|39|100.0|21.9|105|38|95.5|9.5
97000US4807980|Alto Independent School District|4807980|2014-2018|102|400|95|380|93|95.0|4.8|335|85|83.8|10.0
97000US1703600|Alton Community Unit School District 11|1703600|2014-2018|102|4965|311|4770|310|96.1|1.7|4445|316|89.5|3.0
97000US2903060|Alton R-IV School District|2903060|2014-2018|102|355|104|310|91|87.3|12.6|210|68|59.2|17.3
97000US5500270|Altoona School District|5500270|2014-2018|102|1100|155|1075|161|97.7|4.1|1015|166|92.3|5.9
97000US4800011|Alvarado Independent School District|4800011|2014-2018|102|2305|330|2280|336|98.9|1.6|1865|276|80.9|9.0
97000US1703660|Alwood Community Unit School District 225|1703660|2014-2018|102|205|40|205|40|100.0|12.5|200|40|97.6|3.4
97000US1703690|Amboy Community Unit School District 272|1703690|2014-2018|102|525|68|500|63|95.2|4.4|470|65|89.5|5.1
97000US5100180|Amelia County Public Schools|5100180|2014-2018|102|1265|186|1135|184|89.7|6.6|965|199|76.3|8.9
97000US1600060|American Falls Joint School District 381|1600060|2014-2018|102|765|128|755|130|98.7|3.1|670|131|87.6|9.6
97000US5500300|Amery School District|5500300|2014-2018|102|960|92|955|93|99.5|1.4|895|96|93.2|3.3
97000US1903540|Ames Community School District|1903540|2014-2018|102|3295|259|3260|262|98.9|1.1|3065|251|93.0|3.0
97000US5100210|Amherst County Public Schools|5100210|2014-2018|102|3130|303|2955|293|94.4|2.5|2495|268|79.7|5.3
97000US3100070|Amherst Public Schools|3100070|2014-2018|102|75|24|75|24|100.0|23.1|70|23|93.3|7.3
97000US2800420|Amite County School District|2800420|2014-2018|102|1255|226|1185|216|94.4|4.5|1025|200|81.7|7.3
97000US2800450|Amory School District|2800450|2014-2018|102|945|187|885|185|93.7|6.5|695|152|73.5|13.2
97000US0400680|Amphitheater Unified District|0400680|2014-2018|102|12090|587|11780|570|97.4|1.0|10665|541|88.2|2.1
97000US5300150|Anacortes School District|5300150|2014-2018|102|1890|76|1845|78|97.6|1.5|1775|78|93.9|2.2
97000US4003000|Anadarko Public Schools|4003000|2014-2018|102|1135|130|950|133|83.7|7.1|725|116|63.9|8.6
97000US1903570|Anamosa Community School District|1903570|2014-2018|102|895|127|895|127|100.0|2.2|795|120|88.8|6.7
95000US2100090|Anchorage Independent School District|2100090|2014-2018|102|255|60|255|60|100.0|11.1|255|60|100.0|11.1
97000US0200180|Anchorage School District|0200180|2014-2018|102|32170|952|31655|961|98.4|0.6|29895|913|92.9|1.2
97000US0100060|Andalusia City School District|0100060|2014-2018|102|840|114|780|109|92.9|4.5|730|106|86.9|5.6
97000US1800150|Anderson Community School Corporation|1800150|2014-2018|102|7650|422|7270|425|95.0|1.5|6875|427|89.9|2.3
97000US2100120|Anderson County School District|2100120|2014-2018|102|2750|274|2725|273|99.1|0.8|2385|264|86.7|5.3
97000US4700090|Anderson County School District|4700090|2014-2018|102|4210|330|3950|316|93.8|2.5|3630|331|86.2|3.5
95000US4003010|Anderson Public School|4003010|2014-2018|102|245|52|235|51|95.9|5.8|210|49|85.7|7.6
97000US4500780|Anderson School District 1|4500780|2014-2018|102|6715|434|6525|463|97.2|1.7|6120|449|91.1|2.8
97000US4500810|Anderson School District 2|4500810|2014-2018|102|2435|241|2360|244|96.9|2.5|2080|216|85.4|5.7
97000US4500840|Anderson School District 3|4500840|2014-2018|102|1785|209|1745|221|97.8|2.3|1420|208|79.6|7.3
97000US4500870|Anderson School District 4|4500870|2014-2018|102|2090|224|2000|245|95.7|3.6|1680|243|80.4|7.8
97000US4500900|Anderson School District 5|4500900|2014-2018|102|8745|485|8300|463|94.9|1.7|7275|441|83.2|2.9
97000US3603030|Andover Central School District|3603030|2014-2018|102|220|45|210|45|95.5|4.6|200|41|90.9|9.8
97000US3400900|Andover Regional School District|3400900|2014-2018|102|650|90|650|90|100.0|4.9|580|82|89.2|7.5
95000US0900030|Andover School District|0900030|2014-2018|102|205|51|205|51|100.0|15.6|190|45|92.7|9.9
97000US2003360|Andover Unified School District 385|2003360|2014-2018|102|3585|259|3505|263|97.8|3.0|3360|273|93.7|3.2
97000US1903630|Andrew Community School District|1903630|2014-2018|102|175|42|160|37|91.4|8.9|150|36|85.7|8.9
97000US1903690|Ankeny Community School District|1903690|2014-2018|102|7700|584|7675|594|99.7|0.5|7515|603|97.6|1.2
95000US1703750|Anna Community Consolidated School District 37|1703750|2014-2018|102|465|95|415|93|89.2|9.0|295|100|63.4|15.9
96000US1703780|Anna Jonesboro Community High School District 81|1703780|2014-2018|102|490|108|405|100|82.7|15.4|355|94|72.4|17.0
97000US2703150|Annandale Public School District|2703150|2014-2018|102|1140|112|1120|113|98.2|1.8|1040|119|91.2|5.4
97000US1703810|Annawan Community Unit School District 226|1703810|2014-2018|102|215|47|205|46|95.3|6.1|205|44|95.3|5.9
97000US2400060|Anne Arundel County Public Schools|2400060|2014-2018|102|60470|1197|59420|1145|98.3|0.4|57530|1162|95.1|0.6
97000US0200525|Annette Island School District|0200525|2014-2018|102|180|37|180|37|100.0|10.5|145|35|80.6|12.4
97000US0100090|Anniston City School District|0100090|2014-2018|102|2165|284|2020|273|93.3|3.1|1525|241|70.4|6.2
97000US2703180|Anoka-Hennepin Public School District|2703180|2014-2018|102|28255|638|27850|662|98.6|0.5|26890|634|95.2|0.9
97000US3100010|Anselmo-Merna Public Schools|3100010|2014-2018|102|120|39|120|39|100.0|15.3|90|30|75.0|17.9
97000US3103060|Ansley Public Schools|3103060|2014-2018|102|80|28|75|28|93.8|11.9|65|26|81.3|12.7
97000US3700180|Anson County Schools|3700180|2014-2018|102|2365|274|2125|270|89.9|4.2|1905|270|80.5|5.9
97000US0900060|Ansonia School District|0900060|2014-2018|102|1940|191|1805|171|93.0|4.9|1690|185|87.1|6.4
96000US0400720|Antelope Union High School District|0400720|2014-2018|102|395|108|360|106|91.1|7.3|325|109|82.3|9.2
97000US2003390|Anthony-Harper Unified School District 361|2003390|2014-2018|102|475|87|475|87|100.0|5.1|430|81|90.5|6.1
97000US5500360|Antigo School District|5500360|2014-2018|102|1770|158|1675|178|94.6|3.8|1490|170|84.2|4.8
95000US1703840|Antioch Community Consolidated School District 34|1703840|2014-2018|102|2535|154|2485|158|98.0|1.9|2420|168|95.5|3.5
96000US1703870|Antioch Community High School District 117|1703870|2014-2018|102|2375|259|2365|257|99.6|0.6|2330|259|98.1|1.3
97000US4003060|Antlers Public Schools|4003060|2014-2018|102|600|88|505|74|84.2|8.2|455|74|75.8|8.0
97000US0400790|Apache Junction Unified District|0400790|2014-2018|102|4280|349|3940|320|92.1|4.1|3635|302|84.9|4.0
97000US1903750|Aplington-Parkersburg Community School District|1903750|2014-2018|102|450|60|445|60|98.9|1.7|405|58|90.0|9.7
97000US0600017|Apple Valley Unified School District|0600017|2014-2018|102|8760|441|8385|472|95.7|1.9|8005|462|91.4|2.3
97000US5500390|Appleton Area School District|5500390|2014-2018|102|10580|330|10475|342|99.0|0.7|9855|356|93.1|1.7
97000US2903120|Appleton City R-II School District|2903120|2014-2018|102|275|67|265|64|96.4|5.2|245|60|89.1|7.5
97000US1300060|Appling County School District|1300060|2014-2018|102|2180|238|2055|238|94.3|3.2|1490|182|68.3|6.9
97000US5100240|Appomattox County Public Schools|5100240|2014-2018|102|1955|171|1745|173|89.3|6.0|1475|181|75.4|8.1
97000US1000080|Appoquinimink School District|1000080|2014-2018|102|7630|486|7545|489|98.9|0.9|7465|504|97.8|1.3
95000US1703900|Aptakisic-Tripp Community Consolidated School District|1703900|2014-2018|102|1825|174|1825|174|100.0|1.5|1815|175|99.5|0.8
97000US0100100|Arab City School District|0100100|2014-2018|102|900|71|875|66|97.2|2.1|825|60|91.7|2.5
97000US4003120|Arapaho Public Schools|4003120|2014-2018|102|300|85|295|84|98.3|2.7|270|84|90.0|7.7
97000US3103090|Arapahoe Public Schools|3103090|2014-2018|102|240|40|235|41|97.9|2.1|210|41|87.5|7.9
95000US1703930|Arbor Park School District 145|1703930|2014-2018|102|1160|179|1150|176|99.1|1.2|1130|176|97.4|2.1
97000US5500420|Arcadia School District|5500420|2014-2018|102|605|76|580|75|95.9|3.9|540|74|89.3|4.9
97000US2903150|Arcadia Valley R-II School District|2903150|2014-2018|102|670|98|610|95|91.0|6.4|515|86|76.9|8.6
95000US0603000|Arcata Elementary School District|0603000|2014-2018|102|540|130|520|124|96.3|5.5|515|122|95.4|6.7
97000US2903200|Archie R-V School District|2903200|2014-2018|102|420|77|420|77|100.0|6.3|370|76|88.1|7.9
95000US0603060|Arcohe Union Elementary School District|0603060|2014-2018|102|325|102|325|102|100.0|10.2|320|104|98.5|2.4
97000US1703960|Arcola Consolidated Unit School District 306|1703960|2014-2018|102|420|71|345|66|82.1|9.9|345|66|82.1|9.8
97000US4003180|Ardmore Public Schools|4003180|2014-2018|102|1730|196|1595|185|92.2|3.2|1305|168|75.4|5.3
97000US3603180|Ardsley Union Free School District|3603180|2014-2018|102|1055|123|1055|123|100.0|3.0|1045|122|99.1|1.5
95000US0603090|Arena Union Elementary School District|0603090|2014-2018|102|175|64|145|55|82.9|21.8|135|53|77.1|20.3
97000US2603060|Arenac Eastern School District|2603060|2014-2018|102|190|31|160|32|84.2|7.6|155|31|81.6|8.4
97000US1703990|Argenta-Oreana Community Unit School District 1|1703990|2014-2018|102|615|128|610|127|99.2|1.3|600|128|97.6|2.4
97000US2003430|Argonia Public Schools Unified School District 359|2003430|2014-2018|102|100|30|100|30|100.0|21.9|85|26|85.0|13.3
97000US1800180|Argos Community Schools|1800180|2014-2018|102|435|69|420|71|96.6|4.4|375|64|86.2|5.8
97000US3603210|Argyle Central School District|3603210|2014-2018|102|355|78|355|78|100.0|8.7|320|71|90.1|8.2
97000US5500450|Argyle School District|5500450|2014-2018|102|230|41|230|42|100.0|7.3|210|41|91.3|5.7
97000US2003450|Arkansas City Unified School District 470|2003450|2014-2018|102|1855|172|1775|164|95.7|2.4|1600|150|86.3|5.4
97000US4003210|Arkoma Public Schools|4003210|2014-2018|102|210|39|190|38|90.5|6.2|170|37|81.0|8.5
97000US3603240|Arkport Central School District|3603240|2014-2018|102|355|56|355|56|100.0|8.7|305|54|85.9|8.4
97000US3603270|Arlington Central School District|3603270|2014-2018|102|5425|298|5365|290|98.9|1.0|5230|306|96.4|1.6
97000US4700152|Arlington Community School District|4700152|2014-2018|102|2025|197|1985|200|98.0|2.0|1935|186|95.6|3.7
97000US5100270|Arlington County Public Schools|5100270|2014-2018|102|19990|644|19195|615|96.0|1.3|18510|601|92.6|1.5
97000US3103130|Arlington Public Schools|3103130|2014-2018|102|420|76|415|76|98.8|3.1|400|73|95.2|4.8
97000US5300240|Arlington School District|5300240|2014-2018|102|3395|265|3350|264|98.7|1.2|3175|256|93.5|3.3
97000US4603720|Arlington School District 38-1|4603720|2014-2018|102|185|33|185|33|100.0|10.2|165|37|89.2|10.7
97000US2603240|Armada Area Schools|2603240|2014-2018|102|900|122|900|122|100.0|2.5|895|121|99.4|1.3
95000US0603180|Armona Union Elementary School District|0603180|2014-2018|102|720|187|605|167|84.0|12.7|475|149|66.0|16.0
97000US4603780|Armour School District 21-1|4603780|2014-2018|102|145|38|135|37|93.1|7.4|125|34|86.2|14.9
97000US3100073|Arnold Public Schools|3100073|2014-2018|102|130|34|130|34|100.0|14.2|120|33|92.3|5.9
97000US0691136|Aromas-San Juan Unified School District|0691136|2014-2018|102|825|169|815|173|98.8|2.7|770|168|93.3|6.0
97000US2382001|Aroostook Unorganized Territory|2382001|2014-2018|102|90|33|85|33|94.4|7.7|70|28|77.8|14.1
97000US3500120|Artesia Public Schools|3500120|2014-2018|102|2540|256|2420|251|95.3|4.1|2400|261|94.5|4.1
97000US3103210|Arthur County Schools|3103210|2014-2018|102|50|13|50|13|100.0|31.7|50|13|100.0|31.7
95000US0603270|Arvin Union School District|0603270|2014-2018|102|2215|195|1910|180|86.2|4.8|1515|165|68.4|5.9
97000US1903780|Ar-We-Va Community School District|1903780|2014-2018|102|250|38|230|37|92.0|8.7|220|34|88.0|7.7
97000US3400930|Asbury Park City School District|3400930|2014-2018|102|1440|192|1305|186|90.6|5.1|1130|195|78.5|7.2
97000US2200090|Ascension Parish School District|2200090|2014-2018|102|15215|735|15035|719|98.8|0.8|14150|706|93.0|1.9
97000US2903270|Ash Grove R-IV School District|2903270|2014-2018|102|575|132|525|135|91.3|6.9|420|116|73.0|13.4
97000US2703300|Ashby Public School District|2703300|2014-2018|102|165|35|165|35|100.0|10.1|150|31|90.9|7.3
97000US3700210|Ashe County Schools|3700210|2014-2018|102|2825|310|2575|262|91.2|5.1|2370|268|83.9|6.8
97000US3700240|Asheboro City Schools|3700240|2014-2018|102|2820|305|2550|289|90.4|4.7|2290|276|81.2|5.7
97000US4003300|Asher Public Schools|4003300|2014-2018|102|135|31|125|30|92.6|10.8|105|33|77.8|9.0
97000US3700270|Asheville City Schools|3700270|2014-2018|102|2725|305|2545|256|93.4|4.7|2390|245|87.7|5.3
95000US0900090|Ashford School District|0900090|2014-2018|102|370|65|370|65|100.0|9.0|335|58|90.5|10.5
95000US3000008|Ashland Elementary School District|3000008|2014-2018|102|115|33|70|24|60.9|15.0|60|23|52.2|17.5
97000US2100150|Ashland Independent School District|2100150|2014-2018|102|2320|200|2260|198|97.4|2.1|1960|206|84.5|5.3
97000US5500510|Ashland School District|5500510|2014-2018|102|1160|126|1115|126|96.1|3.0|1030|126|88.8|4.2
97000US2003510|Ashland Unified School District 220|2003510|2014-2018|102|100|33|100|33|100.0|21.9|95|32|95.0|11.5
97000US3100034|Ashland-Greenwood Public Schools|3100034|2014-2018|102|600|76|585|79|97.5|3.7|525|70|87.5|5.7
97000US2603480|Ashley Community Schools|2603480|2014-2018|102|210|43|195|39|92.9|7.4|175|42|83.3|9.0
97000US5500540|Ashwaubenon School District|5500540|2014-2018|102|1635|170|1615|173|98.8|1.3|1550|169|94.8|2.8
97000US5300280|Asotin-Anatone School District|5300280|2014-2018|102|240|85|240|85|100.0|12.6|165|65|68.8|20.4
97000US2200120|Assumption Parish School District|2200120|2014-2018|102|2355|297|2175|300|92.4|3.5|1865|290|79.2|6.5
97000US0603300|Atascadero Unified School District|0603300|2014-2018|102|3190|321|3150|299|98.7|2.2|2780|306|87.1|5.7
97000US2003540|Atchison Public Schools Unified School District 409|2003540|2014-2018|102|1135|185|1085|186|95.6|4.8|1025|187|90.3|6.8
97000US2603510|Athens Area Schools|2603510|2014-2018|102|415|96|405|97|97.6|3.2|380|94|91.6|4.5
97000US0100120|Athens City School District|0100120|2014-2018|102|2025|255|1905|248|94.1|3.4|1740|238|85.9|5.8
95000US4700120|Athens City Schools|4700120|2014-2018|102|1285|144|1210|144|94.2|5.2|1095|146|85.2|7.0
97000US5500570|Athens School District|5500570|2014-2018|102|345|61|285|56|82.6|5.6|265|54|76.8|5.4
97000US2603540|Atherton Community Schools|2603540|2014-2018|102|730|140|660|128|90.4|8.3|610|138|83.6|11.4
97000US1300090|Atkinson County School District|1300090|2014-2018|102|985|140|855|134|86.8|5.4|665|127|67.5|8.9
97000US2903480|Atlanta C-3 Schools|2903480|2014-2018|102|165|41|160|41|97.0|6.8|120|33|72.7|16.2
97000US1300120|Atlanta City School District|1300120|2014-2018|102|36175|993|34080|995|94.2|1.0|30605|953|84.6|1.2
97000US2603570|Atlanta Community Schools|2603570|2014-2018|102|270|57|265|56|98.1|2.1|200|51|74.1|13.2
97000US3400960|Atlantic City School District|3400960|2014-2018|102|4365|291|3740|277|85.7|3.4|3160|274|72.4|4.5
